Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1996,11,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1996,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1997,2,0,13,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,2,0,0,0,0,0,1
1997,4,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,
1997,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,0,0,0,45,10,28,23,26,60,1,0
1997,6,0,0,22,9,0,0,8,0,59,0,31,33,3,18,8,8,0,1,0,10,109,8,4,12,1,0,13,15,1,17,
1997,7,93,32,76,66,87,29,43,49,75,64,91,20,1,0,1,28,2,1,24,239,71,54,22,1,2,2,2,23,1,6,72
1997,8,146,50,63,0,5,13,0,12,0,7,9,50,51,81,2,1,0,0,0,3,1,0,0,1,18,14,21,4,25,24,12
1997,9,14,6,0,82,12,51,25,18,2,2,0,29,14,101,25,22,0,29,18,1,0,0,0,11,21,21,107,26,2,1,
1997,10,27,24,0,0,0,0,2,25,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,11,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1997,12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
